Date : 2022-06-29 17:10:55
Directory : d:\OSH\x-runikraft
Total : 123 files,  15836 codes, 3324 comments, 3146 blanks, all 22306 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| lib\rkboot                                                                |          1 |        122 |         27 |         24 |        173 |
| lib\rkboot\src                                                            |          1 |        122 |         27 |         24 |        173 |
| lib\rkgpu                                                                 |          1 |        133 |         33 |         15 |        181 |
| lib\rkgpu\src                                                             |          1 |        133 |         33 |         15 |        181 |
| lib\rkinput                                                               |          1 |          2 |         26 |         10 |         38 |
| lib\rkinput\src                                                           |          1 |          2 |         26 |         10 |         38 |
| lib\rklock                                                                |          3 |        136 |         29 |         21 |        186 |
| lib\rklock\src                                                            |          3 |        136 |         29 |         21 |        186 |
| lib\rkmbox                                                                |          1 |        109 |         45 |         38 |        192 |
| lib\rkmbox\src                                                            |          1 |        109 |         45 |         38 |        192 |
| lib\rknetdev                                                              |          5 |        244 |        234 |         86 |        564 |
| lib\rknetdev\src                                                          |          5 |        244 |        234 |         86 |        564 |
| lib\rkparam                                                               |          1 |        192 |         69 |         55 |        316 |
| lib\rkparam\src                                                           |          1 |        192 |         69 |         55 |        316 |
| lib\rkplat                                                                |         32 |      3,064 |        846 |        581 |      4,491 |
| lib\rkplat\src                                                            |         32 |      3,064 |        846 |        581 |      4,491 |
| lib\rkplat\src\drivers                                                    |         15 |      1,941 |        558 |        386 |      2,885 |
| lib\rkplat\src\drivers\rtc                                                |          2 |         59 |          9 |         15 |         83 |
| lib\rkplat\src\drivers\uart                                               |          2 |        100 |         42 |         27 |        169 |
| lib\rkplat\src\drivers\virtio                                             |          9 |      1,504 |        443 |        274 |      2,221 |
| lib\rkplat\src\riscv64                                                    |         16 |      1,109 |        263 |        185 |      1,557 |
| lib\rkring                                                                |          1 |        175 |         76 |         39 |        290 |
| lib\rkring\src                                                            |          1 |        175 |         76 |         39 |        290 |
| lib\rksched                                                               |          4 |        625 |        248 |        128 |      1,001 |
| lib\rksched\src                                                           |          4 |        625 |        248 |        128 |      1,001 |
| lib\rkschedcoop                                                           |          1 |        305 |         77 |         34 |        416 |
| lib\rkschedcoop\src                                                       |          1 |        305 |         77 |         34 |        416 |
| lib\rkschedpreem                                                          |          1 |         67 |         27 |         10 |        104 |
| lib\rkschedpreem\src                                                      |          1 |         67 |         27 |         10 |        104 |
| lib\rksignal                                                              |          3 |         95 |         74 |         33 |        202 |
| lib\rksignal\src                                                          |          3 |         95 |         74 |         33 |        202 |
| makefiles                                                                 |          2 |         73 |         36 |         22 |        131 |
| reference                                                                 |          4 |        527 |          0 |         32 |        559 |
| reference\Unikraft helloworld                                             |          3 |        321 |          0 |          7 |        328 |
| report                                                                    |         20 |      5,349 |         89 |      1,472 |      6,910 |
| report\0_timeline                                                         |          1 |        249 |          0 |        133 |        382 |
| report\1_pre-research                                                     |          1 |        710 |          0 |        364 |      1,074 |
| report\2_research                                                         |          7 |      1,400 |         55 |        542 |      1,997 |
| report\3_feasibility                                                      |          8 |      2,834 |         18 |        402 |      3,254 |
| report\3_feasibility\assets                                               |          1 |      1,182 |          1 |          2 |      1,185 |
| report\4_midterm                                                          |          1 |         21 |          0 |         15 |         36 |
| sudoku                                                                    |          1 |        152 |         39 |         37 |        228 |
| sudoku\src                                                                |          1 |        152 |         39 |         37 |        228 |
| support                                                                   |          1 |          8 |          1 |          3 |         12 |
| test                                                                      |         12 |        862 |         40 |        119 |      1,021 |
| test\alloc_buddy0                                                         |          1 |         67 |          5 |          8 |         80 |
| test\alloc_buddy0\src                                                     |          1 |         67 |          5 |          8 |         80 |
| test\alloc_buddy1                                                         |          1 |         58 |          3 |          7 |         68 |
| test\alloc_buddy1\src                                                     |          1 |         58 |          3 |          7 |         68 |
| test\global_alloc0                                                        |          1 |         69 |          1 |         26 |         96 |
| test\global_alloc0\src                                                    |          1 |         69 |          1 |         26 |         96 |
| test\list0                                                                |          1 |        103 |          6 |          9 |        118 |
| test\list0\src                                                            |          1 |        103 |          6 |          9 |        118 |
| test\lock0                                                                |          1 |         62 |          0 |         11 |         73 |
| test\lock0\src                                                            |          1 |         62 |          0 |         11 |         73 |
| test\rkgpu0                                                               |          1 |         18 |          4 |          4 |         26 |
| test\rkgpu0\src                                                           |          1 |         18 |          4 |          4 |         26 |
| test\rkplat_time0                                                         |          1 |         14 |          0 |          4 |         18 |
| test\rkplat_time0\src                                                     |          1 |         14 |          0 |          4 |         18 |
| test\sched_coop0                                                          |          1 |         83 |          0 |         10 |         93 |
| test\sched_coop0\src                                                      |          1 |         83 |          0 |         10 |         93 |
| test\sched_coop1                                                          |          1 |         92 |          0 |         12 |        104 |
| test\sched_coop1\src                                                      |          1 |         92 |          0 |         12 |        104 |
| test\slist0                                                               |          1 |         77 |          6 |          8 |         91 |
| test\slist0\src                                                           |          1 |         77 |          6 |          8 |         91 |
| test\stailq0                                                              |          1 |         92 |          7 |          9 |        108 |
| test\stailq0\src                                                          |          1 |         92 |          7 |          9 |        108 |
| test\tailq0                                                               |          1 |        127 |          8 |         11 |        146 |
| test\tailq0\src                                                           |          1 |        127 |          8 |         11 |        146 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                  | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\OSH\x-runikraft\README.md                                              | Markdown     |         47 |          0 |         28 |         75 |
| d:\OSH\x-runikraft\core\src\align_as.rs                                   | Rust         |         28 |          4 |          4 |         36 |
| d:\OSH\x-runikraft\core\src\bitcount.rs                                   | Rust         |         41 |         28 |          9 |         78 |
| d:\OSH\x-runikraft\core\src\compat_list\list.rs                           | Rust         |        153 |         31 |         24 |        208 |
| d:\OSH\x-runikraft\core\src\compat_list\mod.rs                            | Rust         |          8 |          4 |          3 |         15 |
| d:\OSH\x-runikraft\core\src\compat_list\slist.rs                          | Rust         |         83 |         22 |         18 |        123 |
| d:\OSH\x-runikraft\core\src\compat_list\stailq.rs                         | Rust         |        117 |         26 |         20 |        163 |
| d:\OSH\x-runikraft\core\src\compat_list\tailq.rs                          | Rust         |        202 |         38 |         28 |        268 |
| d:\OSH\x-runikraft\core\src\config.rs                                     | Rust         |          4 |          6 |          2 |         12 |
| d:\OSH\x-runikraft\core\src\errno.rs                                      | Rust         |        100 |        106 |          2 |        208 |
| d:\OSH\x-runikraft\core\src\lib.rs                                        | Rust         |          6 |         26 |          5 |         37 |
| d:\OSH\x-runikraft\default_config.rs                                      | Rust         |         23 |         10 |          7 |         40 |
| d:\OSH\x-runikraft\dev-test\src\thread_context.rs                         | Rust         |         34 |          0 |          7 |         41 |
| d:\OSH\x-runikraft\dev-test\src\trap.rs                                   | Rust         |          9 |          0 |          3 |         12 |
| d:\OSH\x-runikraft\dev-test\src\uart.rs                                   | Rust         |         20 |          0 |          3 |         23 |
| d:\OSH\x-runikraft\doc\assets\Runikraft_logo.svg                          | XML          |      1,679 |          0 |         18 |      1,697 |
| d:\OSH\x-runikraft\lib\rkalloc\alloc_error_handler.rs                     | Rust         |          7 |          4 |          4 |         15 |
| d:\OSH\x-runikraft\lib\rkalloc\src\lib.rs                                 | Rust         |        105 |         90 |         26 |        221 |
| d:\OSH\x-runikraft\lib\rkalloc_buddy\src\debug.rs                         | Rust         |         28 |          4 |          4 |         36 |
| d:\OSH\x-runikraft\lib\rkalloc_buddy\src\lib.rs                           | Rust         |        288 |        105 |         41 |        434 |
| d:\OSH\x-runikraft\lib\rkalloc_buddy\support\find_data_size.cpp           | C++          |         38 |          5 |          5 |         48 |
| d:\OSH\x-runikraft\lib\rkblkdev\src\blkdev.rs                             | Rust         |        245 |        382 |         40 |        667 |
| d:\OSH\x-runikraft\lib\rkblkdev\src\blkdev_core.rs                        | Rust         |         88 |        109 |         24 |        221 |
| d:\OSH\x-runikraft\lib\rkblkdev\src\blkdev_driver.rs                      | Rust         |         57 |         75 |         12 |        144 |
| d:\OSH\x-runikraft\lib\rkblkdev\src\blkfront.rs                           | Rust         |         22 |         73 |          6 |        101 |
| d:\OSH\x-runikraft\lib\rkblkdev\src\blkreq.rs                             | Rust         |         50 |         83 |         13 |        146 |
| d:\OSH\x-runikraft\lib\rkblkdev\src\lib.rs                                | Rust         |         83 |         45 |         17 |        145 |
| d:\OSH\x-runikraft\lib\rkboot\src\lib.rs                                  | Rust         |        122 |         27 |         24 |        173 |
| d:\OSH\x-runikraft\lib\rkgpu\src\lib.rs                                   | Rust         |        133 |         33 |         15 |        181 |
| d:\OSH\x-runikraft\lib\rkinput\src\lib.rs                                 | Rust         |          2 |         26 |         10 |         38 |
| d:\OSH\x-runikraft\lib\rklock\src\lib.rs                                  | Rust         |          7 |         26 |          7 |         40 |
| d:\OSH\x-runikraft\lib\rklock\src\mutex.rs                                | Rust         |         82 |          2 |          8 |         92 |
| d:\OSH\x-runikraft\lib\rklock\src\semaphore.rs                            | Rust         |         47 |          1 |          6 |         54 |
| d:\OSH\x-runikraft\lib\rkmbox\src\lib.rs                                  | Rust         |        109 |         45 |         38 |        192 |
| d:\OSH\x-runikraft\lib\rknetdev\src\lib.rs                                | Rust         |          5 |         26 |          5 |         36 |
| d:\OSH\x-runikraft\lib\rknetdev\src\netbuf.rs                             | Rust         |          2 |         30 |          5 |         37 |
| d:\OSH\x-runikraft\lib\rknetdev\src\netdev.rs                             | Rust         |          0 |          0 |          2 |          2 |
| d:\OSH\x-runikraft\lib\rknetdev\src\netdev_core.rs                        | Rust         |        222 |        133 |         65 |        420 |
| d:\OSH\x-runikraft\lib\rknetdev\src\netdev_driver.rs                      | Rust         |         15 |         45 |          9 |         69 |
| d:\OSH\x-runikraft\lib\rkparam\src\lib.rs                                 | Rust         |        192 |         69 |         55 |        316 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\device_tree.rs                  | Rust         |        261 |         61 |         67 |        389 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\mod.rs                          | Rust         |         17 |          3 |          3 |         23 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\rtc\goldfish.rs                 | Rust         |         52 |          4 |         11 |         67 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\rtc\mod.rs                      | Rust         |          7 |          5 |          4 |         16 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\uart\mod.rs                     | Rust         |          7 |          6 |          4 |         17 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\uart\ns16550.rs                 | Rust         |         93 |         36 |         23 |        152 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\blk.rs                   | Rust         |        214 |         92 |         28 |        334 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\console.rs               | Rust         |        135 |         13 |         13 |        161 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\gpu.rs                   | Rust         |        410 |         47 |         60 |        517 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\hal.rs                   | Rust         |         49 |          8 |         13 |         70 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\header.rs                | Rust         |        149 |        108 |         58 |        315 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\input.rs                 | Rust         |        136 |         39 |         21 |        196 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\mod.rs                   | Rust         |         62 |         38 |         21 |        121 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\net.rs                   | Rust         |        159 |         52 |         28 |        239 |
| d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\queue.rs                 | Rust         |        190 |         46 |         32 |        268 |
| d:\OSH\x-runikraft\lib\rkplat\src\lib.rs                                  | Rust         |         14 |         25 |         10 |         49 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\bootstrap.rs                    | Rust         |         91 |         29 |         21 |        141 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\console.rs                      | Rust         |         99 |         18 |         25 |        142 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\constants.rs                    | Rust         |          1 |          8 |          3 |         12 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\device.rs                       | Rust         |         17 |         10 |          6 |         33 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\exception.rs                    | Rust         |         47 |          6 |          3 |         56 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\intctrl.rs                      | Rust         |         19 |          7 |          5 |         31 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\irq.rs                          | Rust         |         57 |         26 |         12 |         95 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\lcpu.rs                         | Rust         |        175 |         43 |         34 |        252 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\mcause.rs                       | Rust         |         38 |          9 |          5 |         52 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\mod.rs                          | Rust         |         30 |         10 |          9 |         49 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\mstatus.rs                      | Rust         |        173 |         26 |         13 |        212 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\reg.rs                          | Rust         |        105 |         14 |          5 |        124 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\sbi.rs                          | Rust         |         30 |          5 |          5 |         40 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\spinlock.rs                     | Rust         |        116 |          9 |         14 |        139 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\thread.rs                       | Rust         |         46 |         25 |          9 |         80 |
| d:\OSH\x-runikraft\lib\rkplat\src\riscv64\time.rs                         | Rust         |         65 |         18 |         16 |         99 |
| d:\OSH\x-runikraft\lib\rkring\src\lib.rs                                  | Rust         |        175 |         76 |         39 |        290 |
| d:\OSH\x-runikraft\lib\rksched\src\lib.rs                                 | Rust         |         34 |         29 |          9 |         72 |
| d:\OSH\x-runikraft\lib\rksched\src\sched.rs                               | Rust         |         95 |         71 |         23 |        189 |
| d:\OSH\x-runikraft\lib\rksched\src\thread.rs                              | Rust         |        401 |        120 |         80 |        601 |
| d:\OSH\x-runikraft\lib\rksched\src\wait.rs                                | Rust         |         95 |         28 |         16 |        139 |
| d:\OSH\x-runikraft\lib\rkschedcoop\src\lib.rs                             | Rust         |        305 |         77 |         34 |        416 |
| d:\OSH\x-runikraft\lib\rkschedpreem\src\lib.rs                            | Rust         |         67 |         27 |         10 |        104 |
| d:\OSH\x-runikraft\lib\rksignal\src\lib.rs                                | Rust         |          5 |         26 |          4 |         35 |
| d:\OSH\x-runikraft\lib\rksignal\src\signal.rs                             | Rust         |         45 |         31 |         14 |         90 |
| d:\OSH\x-runikraft\lib\rksignal\src\sigset.rs                             | Rust         |         45 |         17 |         15 |         77 |
| d:\OSH\x-runikraft\makefile                                               | Makefile     |         31 |         32 |         14 |         77 |
| d:\OSH\x-runikraft\makefiles\report.mk                                    | Makefile     |         12 |         31 |         11 |         54 |
| d:\OSH\x-runikraft\makefiles\test.mk.sh                                   | Shell Script |         61 |          5 |         11 |         77 |
| d:\OSH\x-runikraft\reference\Unikraft helloworld\make0.log                | Log          |         96 |          0 |          1 |         97 |
| d:\OSH\x-runikraft\reference\Unikraft helloworld\make1.log                | Log          |        118 |          0 |          5 |        123 |
| d:\OSH\x-runikraft\reference\Unikraft helloworld\make2.log                | Log          |        107 |          0 |          1 |        108 |
| d:\OSH\x-runikraft\reference\qemu-benchmark.log                           | Log          |        206 |          0 |         25 |        231 |
| d:\OSH\x-runikraft\report\0_timeline\README.md                            | Markdown     |        249 |          0 |        133 |        382 |
| d:\OSH\x-runikraft\report\1_pre-research\README.md                        | Markdown     |        710 |          0 |        364 |      1,074 |
| d:\OSH\x-runikraft\report\2_research\ClickOS等调研.md                        | Markdown     |         45 |          0 |         40 |         85 |
| d:\OSH\x-runikraft\report\2_research\README.md                            | Markdown     |        117 |          0 |         83 |        200 |
| d:\OSH\x-runikraft\report\2_research\RustyHermit等调研.md                    | Markdown     |         77 |          0 |         40 |        117 |
| d:\OSH\x-runikraft\report\2_research\Rust语言的优越性.md                        | Markdown     |         44 |          0 |         42 |         86 |
| d:\OSH\x-runikraft\report\2_research\Unikernel的安全性问题.md                   | Markdown     |         36 |          0 |          7 |         43 |
| d:\OSH\x-runikraft\report\2_research\research-report.tex                  | LaTeX        |        967 |         55 |        205 |      1,227 |
| d:\OSH\x-runikraft\report\2_research\unikernel往年概述.md                     | Markdown     |        114 |          0 |        125 |        239 |
| d:\OSH\x-runikraft\report\3_feasibility\README.md                         | Markdown     |          2 |          0 |          3 |          5 |
| d:\OSH\x-runikraft\report\3_feasibility\Unikraft源代码分析.md                  | Markdown     |        174 |          1 |         43 |        218 |
| d:\OSH\x-runikraft\report\3_feasibility\assets\Runikraft-architecture.svg | XML          |      1,182 |          1 |          2 |      1,185 |
| d:\OSH\x-runikraft\report\3_feasibility\feasibility-report.bib            | BibTeX       |        127 |          0 |          3 |        130 |
| d:\OSH\x-runikraft\report\3_feasibility\feasibility-report.tex            | LaTeX        |      1,090 |         16 |        197 |      1,303 |
| d:\OSH\x-runikraft\report\3_feasibility\therotical_basis.md               | Markdown     |         34 |          0 |         26 |         60 |
| d:\OSH\x-runikraft\report\3_feasibility\技术依据-RISCV特权指令与KVM.md             | Markdown     |        122 |          0 |         70 |        192 |
| d:\OSH\x-runikraft\report\3_feasibility\技术依据-Rust编写操作系统的可行性分析.md          | Markdown     |        103 |          0 |         58 |        161 |
| d:\OSH\x-runikraft\report\4_midterm\README.md                             | Markdown     |         21 |          0 |         15 |         36 |
| d:\OSH\x-runikraft\report\COPYING.images.md                               | Markdown     |         46 |          0 |          3 |         49 |
| d:\OSH\x-runikraft\report\runikraft-report.cls                            | TeX          |         89 |         16 |         13 |        118 |
| d:\OSH\x-runikraft\sudoku\src\main.rs                                     | Rust         |        152 |         39 |         37 |        228 |
| d:\OSH\x-runikraft\support\transform_logo.py                              | Python       |          8 |          1 |          3 |         12 |
| d:\OSH\x-runikraft\test\alloc_buddy0\src\main.rs                          | Rust         |         67 |          5 |          8 |         80 |
| d:\OSH\x-runikraft\test\alloc_buddy1\src\main.rs                          | Rust         |         58 |          3 |          7 |         68 |
| d:\OSH\x-runikraft\test\global_alloc0\src\main.rs                         | Rust         |         69 |          1 |         26 |         96 |
| d:\OSH\x-runikraft\test\list0\src\main.rs                                 | Rust         |        103 |          6 |          9 |        118 |
| d:\OSH\x-runikraft\test\lock0\src\main.rs                                 | Rust         |         62 |          0 |         11 |         73 |
| d:\OSH\x-runikraft\test\rkgpu0\src\main.rs                                | Rust         |         18 |          4 |          4 |         26 |
| d:\OSH\x-runikraft\test\rkplat_time0\src\main.rs                          | Rust         |         14 |          0 |          4 |         18 |
| d:\OSH\x-runikraft\test\sched_coop0\src\main.rs                           | Rust         |         83 |          0 |         10 |         93 |
| d:\OSH\x-runikraft\test\sched_coop1\src\main.rs                           | Rust         |         92 |          0 |         12 |        104 |
| d:\OSH\x-runikraft\test\slist0\src\main.rs                                | Rust         |         77 |          6 |          8 |         91 |
| d:\OSH\x-runikraft\test\stailq0\src\main.rs                               | Rust         |         92 |          7 |          9 |        108 |
| d:\OSH\x-runikraft\test\tailq0\src\main.rs                                | Rust         |        127 |          8 |         11 |        146 |
| Total                                                                     |              |     15,836 |      3,324 |      3,146 |     22,306 |
+---------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
